country,region,year,hours_worked,hours_worked_men,hours_worked_women,hours_worker,hours_worker_men,hours_worker_women
Luxembourg,Western Europe and Anglosphere,1992,20.0529823303223,27.229850769043,13.1729536056519,38.2142295837402,40.2802925109863,34.6884613037109
Luxembourg,Western Europe and Anglosphere,1993,19.7928924560547,27.4777908325195,12.4515571594238,38.4275016784668,40.8070220947266,34.2208251953125
Luxembourg,Western Europe and Anglosphere,1994,19.3119564056397,26.5976276397705,12.3438339233398,37.9716491699219,40.5147285461426,33.6223983764648
Luxembourg,Western Europe and Anglosphere,1995,18.7861137390137,26.5963954925537,11.3000755310059,38.0931549072266,40.9233436584473,32.9520835876465
Luxembourg,Western Europe and Anglosphere,1996,18.5852661132813,25.6534099578857,11.7623262405396,37.7101058959961,40.2277221679688,33.3198890686035
Luxembourg,Western Europe and Anglosphere,1997,18.8536033630371,25.6779327392578,12.2420320510864,37.7823028564453,40.455078125,33.3101425170898
Luxembourg,Western Europe and Anglosphere,1998,18.8662700653076,25.7404747009277,12.1793518066406,37.7839660644531,40.647575378418,33.0038375854492
Luxembourg,Western Europe and Anglosphere,1999,19.2240715026855,25.6888179779053,12.9271755218506,37.6147155761719,40.6693878173828,32.8403091430664
Luxembourg,Western Europe and Anglosphere,2000,19.6915645599365,26.638090133667,13.0889434814453,37.752742767334,41.0595932006836,32.6639366149902
Luxembourg,Western Europe and Anglosphere,2001,19.6504287719727,26.2763843536377,13.270637512207,37.1862373352051,40.6380500793457,32.003662109375
Luxembourg,Western Europe and Anglosphere,2002,19.851806640625,26.3333148956299,13.6123151779175,37.2248649597168,40.4069557189941,32.4638175964355
Luxembourg,Western Europe and Anglosphere,2003,17.6590747833252,23.2935543060303,12.2248582839966,33.8400650024414,36.8820686340332,29.3859672546387
Luxembourg,Western Europe and Anglosphere,2004,17.4853343963623,23.1525783538818,11.9950008392334,33.5017395019531,37.0325660705566,28.4325942993164
Luxembourg,Western Europe and Anglosphere,2005,17.707820892334,23.1722717285156,12.4277667999268,33.3719024658203,36.8970031738281,28.4712467193604
Luxembourg,Western Europe and Anglosphere,2006,16.9456882476807,20.9102878570557,12.7918672561646,32.3355827331543,35.9103775024414,27.625617980957
Luxembourg,Western Europe and Anglosphere,2007,17.58323097229,21.5020084381104,13.5257349014282,32.7698173522949,36.3691177368164,28.1794853210449
Luxembourg,Western Europe and Anglosphere,2008,16.6214637756348,21.275936126709,12.0679759979248,31.2569065093994,34.6667442321777,26.7233448028565
Luxembourg,Western Europe and Anglosphere,2009,18.518985748291,23.9875450134277,13.1775989532471,33.6524543762207,37.7706909179688,28.1879558563232
Luxembourg,Western Europe and Anglosphere,2010,18.5192375183105,23.5372333526611,13.6208934783936,33.6871223449707,37.2742385864258,28.9823417663574
Luxembourg,Western Europe and Anglosphere,2011,18.0775337219238,23.0805187225342,13.1803493499756,33.2286682128906,37.1870155334473,28.1014022827148
Luxembourg,Western Europe and Anglosphere,2012,18.8140754699707,23.3915615081787,14.2972316741943,33.844783782959,37.447151184082,29.2951183319092
Luxembourg,Western Europe and Anglosphere,2013,18.5256156921387,22.817590713501,14.2649393081665,33.3550605773926,36.7281227111816,29.1099510192871
Luxembourg,Western Europe and Anglosphere,2014,19.1349716186523,23.295129776001,15.0231456756592,34.1651115417481,37.4167900085449,30.1495094299316
Luxembourg,Western Europe and Anglosphere,2015,19.6585674285889,23.6152591705322,15.7127904891968,34.9137954711914,38.4343757629395,30.6991519927979
Luxembourg,Western Europe and Anglosphere,2016,19.4087219238281,23.2366886138916,15.5630559921265,34.8337211608887,38.2923278808594,30.6775550842285
Luxembourg,Western Europe and Anglosphere,2017,19.2234840393066,22.6024837493897,15.8286418914795,34.4194183349609,37.7181205749512,30.5822868347168
Luxembourg,Western Europe and Anglosphere,2018,19.5483589172363,22.643518447876,16.4289054870605,34.6538848876953,37.4763259887695,31.3718776702881
Luxembourg,Western Europe and Anglosphere,2019,19.7288761138916,22.9215812683105,16.5087738037109,34.5500717163086,37.2342071533203,31.3820819854736
Luxembourg,Western Europe and Anglosphere,2020,18.4369373321533,21.2857227325439,15.5524301528931,32.6097831726074,35.3636932373047,29.4333877563477
Luxembourg,Western Europe and Anglosphere,2021,18.7958812713623,22.1097927093506,15.4365797042847,32.0802841186523,35.2197036743164,28.4041767120361
Luxembourg,Western Europe and Anglosphere,2022,19.9269027709961,22.8373203277588,16.9642944335938,34.0325241088867,36.7991790771484,30.8537940979004
Latvia,Eastern Europe and ex-USSR,1998,21.1415309906006,24.888111114502,18.0919418334961,41.8319091796875,43.1025009155273,40.4952507019043
Latvia,Eastern Europe and ex-USSR,1999,20.9215450286865,25.2553176879883,17.3960666656494,42.0300941467285,43.6861839294434,40.2290115356445
Latvia,Eastern Europe and ex-USSR,2000,20.3720664978027,24.14963722229,17.2891693115234,42.2658424377441,43.7235565185547,40.7183418273926
Latvia,Eastern Europe and ex-USSR,2001,20.3832817077637,23.9704551696777,17.4864196777344,41.797607421875,43.8050498962402,39.7795715332031
