year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2002,6.7,10218,FR,1,1976,27,0,,4,6,7,5,2,3,8,7,6,
2002,6.7,10219,FR,1,1931,72,0,,2,5,4,8,1,1,8,5,3,
2002,6.7,10220,FR,1,1965,38,0,,8,6,9,5,3,3,8,2,7,
2002,6.7,10221,FR,1,1951,52,0,,3,1,3,2,2,1,4,4,8,
2002,6.7,10222,FR,1,1971,32,0,,3,6,9,2,5,3,9,6,2,
2002,6.7,10223,FR,1,1971,32,0,,6,6,7,4,4,1,6,8,6,
2002,6.7,10224,FR,1,1948,55,0,,5,4,7,3,2,4,4,4,5,
2002,6.7,10225,FR,1,1965,38,0,,5,4,5,4,4,4,7,3,5,
2002,6.7,10226,FR,2,1915,88,0,,3,4,5,5,2,2,7,5,5,
2002,6.7,10227,FR,2,1931,72,0,,5,3,5,4,2,2,6,4,5,
2002,6.7,10228,FR,1,1984,19,0,,5,4,7,5,1,3,8,7,5,
2002,6.7,10229,FR,1,1968,35,0,,1,3,5,2,4,2,9,9,3,
2002,6.7,10230,FR,2,1949,54,0,,6,3,5,3,2,2,2,3,7,
2002,6.7,10231,FR,2,1974,29,0,,5,7,5,4,3,3,8,4,5,
2002,6.7,10232,FR,2,1927,76,0,,8,5,7,9,3,2,6,3,4,
2002,6.7,10233,FR,2,1951,52,0,,3,2,5,5,2,4,6,3,6,
2002,6.7,10234,FR,1,1936,67,0,,4,5,3,3,4,1,6,3,7,
2002,6.7,10235,FR,2,1928,75,0,,8,6,8,7,2,3,9,7,6,
2002,6.7,10236,FR,1,1930,73,0,,5,5,7,7,3,3,5,5,7,
2002,6.7,10237,FR,2,1974,29,0,,5,7,5,6,4,2,8,6,7,
2002,6.7,10238,FR,2,1975,28,0,,5,2,6,4,4,3,7,6,7,
2002,6.7,10239,FR,1,1983,20,0,,5,5,7,2,3,3,8,9,7,
2002,6.7,10240,FR,1,1926,77,0,,7,3,5,5,8,5,5,5,88,
2002,6.7,10241,FR,1,1948,55,0,,6,2,5,3,2,4,6,1,4,
2002,6.7,10242,FR,2,1963,40,0,,5,3,4,5,2,2,5,5,4,
2002,6.7,10243,FR,2,1966,37,0,,5,5,3,6,3,2,7,5,5,
2002,6.7,10244,FR,1,1949,54,0,,5,4,5,10,4,3,1,2,5,
2002,6.7,10245,FR,1,1986,17,0,,7,0,5,8,3,2,9,5,2,
2002,6.7,10246,FR,1,1980,23,0,,3,2,3,2,2,4,8,0,5,
2002,6.7,10247,FR,2,1981,22,0,,7,4,3,5,2,1,8,6,2,
2002,6.7,10248,FR,2,1954,49,0,,4,3,8,5,2,3,4,4,5,
2002,6.7,10249,FR,2,1948,55,0,,1,3,7,2,2,4,7,1,2,
2002,6.7,10250,FR,1,1926,77,0,,3,2,2,4,1,1,9,2,0,
2002,6.7,10251,FR,1,1943,60,0,,5,2,8,3,2,2,9,2,2,
2002,6.7,10252,FR,1,1947,56,0,,2,0,3,5,8,2,5,5,3,
2002,6.7,10253,FR,1,1951,52,0,,7,8,8,5,1,3,6,9,9,
2002,6.7,10254,FR,2,1976,27,0,,3,3,6,5,2,3,10,3,3,
2002,6.7,10255,FR,1,1942,61,0,,6,6,6,7,2,2,7,4,6,
2002,6.7,10256,FR,1,1962,41,0,,5,5,2,2,5,1,5,9,10,
2002,6.7,10257,FR,1,1942,61,0,,7,7,8,7,4,2,8,8,5,
2002,6.7,10258,FR,1,1954,49,0,,5,2,0,2,2,4,5,0,0,
2002,6.7,10259,FR,2,1974,29,0,,2,4,7,3,4,3,9,7,5,
2002,6.7,10260,FR,1,1931,72,0,,3,5,8,8,1,1,9,7,5,
2002,6.7,10261,FR,2,1955,48,0,,6,4,8,5,4,2,8,5,5,
2002,6.7,10262,FR,1,1976,27,0,,3,4,7,4,3,3,8,3,7,
2002,6.7,10263,FR,2,1944,59,0,,2,3,3,5,2,8,5,6,5,
2002,6.7,10264,FR,2,1947,56,0,,10,5,8,7,2,2,3,6,5,
2002,6.7,10265,FR,2,1984,19,0,,3,6,5,3,3,4,10,7,88,
2002,6.7,10266,FR,1,1917,86,0,,88,9,88,88,8,8,88,88,88,
2002,6.7,10267,FR,2,1927,76,0,,5,0,6,5,2,1,10,3,6,
2002,6.7,10268,FR,1,1986,17,0,,5,4,5,3,4,4,8,7,7,
2002,6.7,10269,FR,2,1958,45,0,,7,4,6,8,1,3,7,2,5,
2002,6.7,10270,FR,1,1975,28,0,,5,5,7,4,3,2,10,4,6,
2002,6.7,10271,FR,2,1940,63,0,,10,6,9,5,4,2,10,8,5,
2002,6.7,10272,FR,1,1928,75,0,,5,3,8,7,3,2,8,5,5,
2002,6.7,10273,FR,2,1944,59,0,,0,4,4,3,5,1,5,4,4,
2002,6.7,10274,FR,1,1967,36,0,,7,4,7,7,3,4,7,6,7,
2002,6.7,10275,FR,2,1956,47,0,,3,2,6,3,4,2,2,3,2,
2002,6.7,10276,FR,2,1971,32,0,,2,0,0,0,3,4,8,0,1,
2002,6.7,10277,FR,2,1951,52,0,,3,4,7,7,3,2,5,4,5,
2002,6.7,10278,FR,2,1971,32,0,,9,5,0,7,2,2,9,4,5,
2002,6.7,10279,FR,2,1922,81,0,,8,5,8,8,2,1,8,5,4,
2002,6.7,10280,FR,2,1964,39,0,,4,4,5,3,2,2,7,8,7,
2002,6.7,10281,FR,1,1968,35,0,,5,5,7,4,4,2,8,8,5,
2002,6.7,10282,FR,2,1978,25,0,,5,5,3,6,2,4,9,4,3,
2002,6.7,10283,FR,1,1933,70,0,,5,3,6,7,1,2,4,3,2,
2002,6.7,10284,FR,2,1977,26,0,,3,3,7,2,2,4,4,0,3,
2002,6.7,10285,FR,1,1953,50,0,,0,7,7,3,2,2,6,8,8,
2002,6.7,10286,FR,1,1922,81,0,,6,0,5,5,2,5,5,3,0,
2002,6.7,10287,FR,2,1950,53,0,,3,3,5,4,4,2,4,3,5,
2002,6.7,10288,FR,1,1926,77,0,,3,0,3,3,1,1,2,1,0,
2002,6.7,10289,FR,2,1942,61,0,,0,1,4,0,2,4,0,2,0,
2002,6.7,10290,FR,2,1961,42,0,,5,9,6,7,1,1,1,9,5,
2002,6.7,10291,FR,1,1932,71,0,,5,6,7,6,3,3,7,7,6,
2002,6.7,10292,FR,1,1946,57,0,,8,2,5,8,1,2,5,3,5,
2002,6.7,10293,FR,2,1949,54,0,,8,3,5,7,3,2,4,2,3,
2002,6.7,10294,FR,1,1973,30,0,,7,5,3,2,3,4,8,7,8,
2002,6.7,10295,FR,2,1972,31,0,,3,1,5,5,3,4,8,3,7,
2002,6.7,10296,FR,1,1969,34,0,,5,4,7,5,2,5,7,5,5,
2002,6.7,10297,FR,1,1924,79,0,,1,1,1,1,2,2,10,5,1,
2002,6.7,10298,FR,1,1947,56,0,,5,2,8,7,1,3,8,4,2,
2002,6.7,10299,FR,2,1953,50,0,,8,3,9,8,2,4,8,3,5,
2002,6.7,10300,FR,1,1954,49,0,,5,6,3,4,5,1,10,3,5,
2002,6.7,10301,FR,1,1940,63,0,,6,6,6,6,2,2,7,4,7,
2002,6.7,10302,FR,2,1922,81,0,,5,6,5,5,3,3,5,5,4,
2002,6.7,10303,FR,1,1944,59,0,,5,7,7,7,2,4,8,8,8,
2002,6.7,10304,FR,1,1979,24,0,,7,4,5,4,2,2,10,6,7,
2002,6.7,10305,FR,1,1961,42,0,,5,4,5,5,4,2,6,6,6,
2002,6.7,10306,FR,1,1937,66,0,,3,5,4,3,2,1,7,7,5,
2002,6.7,10307,FR,1,1943,60,0,,6,6,7,5,2,2,7,6,6,
2002,6.7,10308,FR,2,1956,47,0,,0,0,6,5,2,2,0,0,0,
2002,6.7,10309,FR,2,1986,17,0,,4,4,5,6,3,2,5,4,3,
2002,6.7,10310,FR,2,1914,89,0,,7,10,6,10,2,2,10,5,10,
2002,6.7,10311,FR,2,1950,53,0,,2,3,4,0,1,4,0,1,4,
2002,6.7,10312,FR,1,1957,46,0,,5,2,10,5,1,1,0,0,6,
2002,6.7,10313,FR,2,1969,34,0,,1,5,4,4,1,3,8,5,6,
2002,6.7,10314,FR,1,1950,53,0,,0,2,0,5,3,4,6,4,4,
2002,6.7,10315,FR,1,1963,40,0,,3,4,8,2,1,2,5,0,3,
2002,6.7,10316,FR,1,1966,37,0,,8,7,8,7,5,5,8,4,5,
2002,6.7,10317,FR,2,1932,71,0,,6,5,7,5,2,2,7,7,7,
2002,6.7,10318,FR,1,1945,58,0,,0,2,5,2,1,8,7,5,2,
2002,6.7,10319,FR,2,1965,38,0,,1,0,2,1,8,8,9,0,0,
2002,6.7,10320,FR,1,1975,28,0,,4,3,1,0,3,2,5,4,5,
2002,6.7,10321,FR,1,1930,73,0,,2,0,2,2,3,3,4,3,0,
2002,6.7,10322,FR,2,1979,24,0,,0,3,4,3,2,2,8,3,2,
2002,6.7,10323,FR,2,1970,33,0,,7,3,7,3,1,3,8,5,5,
2002,6.7,10324,FR,1,1939,64,0,,5,1,2,3,4,1,8,1,1,
2002,6.7,10325,FR,2,1961,42,0,,0,0,5,0,4,2,8,0,3,
