year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2023,4.1,72921,FR,1,1972,51,4,11,3,2,5,3,,,4,0,2,High school diploma or less
2023,4.1,72930,FR,2,1972,51,4,9,5,1,3,2,,,6,2,2,High school diploma or less
2023,4.1,72934,FR,1,1965,58,3,7,5,5,5,5,,,5,0,0,High school diploma or less
2023,4.1,72936,FR,1,1956,67,3,7,3,2,6,6,,,8,3,4,High school diploma or less
2023,4.1,72954,FR,2,1951,72,3,7,0,6,9,6,,,10,7,88,High school diploma or less
2023,4.1,72976,FR,2,1948,75,4,9,4,7,7,3,,,8,10,8,High school diploma or less
2023,4.1,73006,FR,2,1981,42,5,15,3,2,9,5,,,7,4,2,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73024,FR,1,1977,46,4,9,2,3,0,2,,,5,3,2,High school diploma or less
2023,4.1,73046,FR,2,1947,76,2,5,6,4,2,5,,,8,2,0,High school diploma or less
2023,4.1,73065,FR,1,1960,64,1,3,4,3,7,4,,,5,3,1,High school diploma or less
2023,4.1,73078,FR,2,1966,57,5,15,4,4,7,6,,,10,7,6,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73097,FR,2,1997,26,3,8,6,0,8,5,,,5,3,5,High school diploma or less
2023,4.1,73104,FR,1,2004,19,5,13,5,5,8,6,,,8,4,4,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73145,FR,2,1965,58,4,9,5,1,6,4,,,5,5,1,High school diploma or less
2023,4.1,73147,FR,2,1965,58,5,15,5,4,6,5,,,8,2,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73160,FR,2,2005,18,4,11,4,5,7,7,,,8,7,6,High school diploma or less
2023,4.1,73176,FR,1,1965,58,3,7,5,3,8,5,,,8,5,0,High school diploma or less
2023,4.1,73179,FR,2,1964,59,6,18,5,5,5,4,,,5,7,8,"Undergraduate degree (licence, licence pro)"
2023,4.1,73188,FR,2,1962,61,3,7,9,3,2,6,,,9,2,2,High school diploma or less
2023,4.1,73189,FR,2,1976,47,7,25,4,4,5,4,,,7,5,3,Masters degree or more
2023,4.1,73244,FR,2,1963,60,7,21,7,3,6,4,,,7,5,4,Masters degree or more
2023,4.1,73253,FR,1,1964,59,3,7,1,6,8,6,,,7,8,6,High school diploma or less
2023,4.1,73272,FR,1,1970,53,7,22,4,6,8,6,,,9,7,9,Masters degree or more
2023,4.1,73281,FR,1,1995,28,7,24,7,4,9,6,,,3,7,4,Masters degree or more
2023,4.1,73297,FR,1,1955,68,3,7,2,8,5,3,,,7,8,5,High school diploma or less
2023,4.1,73299,FR,2,1990,33,5,15,5,5,5,3,,,8,4,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73301,FR,2,1995,28,5,13,5,2,5,3,,,5,0,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73372,FR,1,1946,77,3,7,2,2,5,3,,,0,1,2,High school diploma or less
2023,4.1,73381,FR,2,1975,48,4,11,3,5,3,3,,,6,8,6,High school diploma or less
2023,4.1,73426,FR,2,1954,70,2,5,5,2,10,3,,,2,5,0,High school diploma or less
2023,4.1,73473,FR,2,1975,48,5,15,1,2,5,2,,,5,4,2,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73522,FR,2,1980,43,6,17,7,2,8,5,,,8,4,2,"Undergraduate degree (licence, licence pro)"
2023,4.1,73548,FR,1,1942,81,1,3,2,0,8,8,,,7,0,0,High school diploma or less
2023,4.1,73549,FR,2,1969,54,4,10,2,6,6,4,,,6,7,7,High school diploma or less
2023,4.1,73552,FR,1,1965,58,3,7,5,1,7,3,,,7,3,0,High school diploma or less
2023,4.1,73574,FR,2,1951,72,3,7,4,4,7,7,,,7,3,3,High school diploma or less
2023,4.1,73597,FR,1,1947,76,5,14,8,4,9,3,,,8,5,0,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73612,FR,1,1938,85,5,15,3,5,6,7,,,7,6,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73643,FR,1,1993,30,5,15,4,5,8,2,,,8,88,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73648,FR,1,1957,66,4,10,4,2,4,4,,,5,4,2,High school diploma or less
2023,4.1,73655,FR,1,1950,73,3,7,5,4,7,5,,,8,5,3,High school diploma or less
2023,4.1,73710,FR,2,1995,28,5,15,5,2,6,7,,,8,4,8,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73712,FR,2,2003,20,6,18,5,5,9,5,,,9,7,5,"Undergraduate degree (licence, licence pro)"
2023,4.1,73722,FR,2,1967,56,7,20,7,7,8,3,,,8,7,6,Masters degree or more
2023,4.1,73724,FR,1,1987,36,4,9,7,5,7,7,,,7,5,6,High school diploma or less
2023,4.1,73732,FR,2,1989,34,7,22,7,2,8,6,,,7,6,5,Masters degree or more
2023,4.1,73737,FR,2,1949,74,1,2,2,5,7,1,,,0,6,1,High school diploma or less
2023,4.1,73787,FR,2,1981,42,3,7,77,1,4,4,,,5,5,3,High school diploma or less
2023,4.1,73801,FR,1,1986,37,5,15,1,1,5,3,,,7,2,1,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73829,FR,2,1971,52,7,20,2,4,4,0,,,3,5,3,Masters degree or more
2023,4.1,73841,FR,2,1966,57,5,15,5,6,8,6,,,8,6,8,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73849,FR,1,1957,66,3,7,2,1,3,1,,,9,9,4,High school diploma or less
2023,4.1,73863,FR,2,1956,67,5,16,5,4,7,7,,,8,5,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73865,FR,1,1945,78,7,26,6,5,5,7,,,8,1,4,Masters degree or more
2023,4.1,73870,FR,2,1943,80,2,5,5,0,7,4,,,8,3,0,High school diploma or less
2023,4.1,73902,FR,2,2000,23,6,17,4,5,8,6,,,7,5,5,"Undergraduate degree (licence, licence pro)"
2023,4.1,73904,FR,1,2000,23,4,9,6,3,7,4,,,6,7,2,High school diploma or less
2023,4.1,73910,FR,2,1992,31,6,18,4,3,7,5,,,7,3,2,"Undergraduate degree (licence, licence pro)"
2023,4.1,73913,FR,1,1961,62,5,15,7,7,5,3,,,8,7,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,73914,FR,2,1961,62,3,7,7,7,6,6,,,7,8,88,High school diploma or less
2023,4.1,73926,FR,2,1972,51,7,24,2,5,8,2,,,9,7,8,Masters degree or more
2023,4.1,73943,FR,2,1979,44,1,4,2,2,2,2,,,8,7,1,High school diploma or less
2023,4.1,73949,FR,2,1937,86,1,4,3,4,4,0,,,7,2,0,High school diploma or less
2023,4.1,74016,FR,2,2007,16,2,5,2,3,5,7,,,9,7,4,High school diploma or less
2023,4.1,74017,FR,2,1966,57,3,7,2,2,5,3,,,5,0,2,High school diploma or less
2023,4.1,74026,FR,1,1973,50,7,21,5,6,7,1,,,7,1,6,Masters degree or more
2023,4.1,74031,FR,2,1969,54,7,21,3,3,6,3,,,6,6,3,Masters degree or more
2023,4.1,74041,FR,1,1984,40,2,6,5,5,8,5,,,9,7,3,High school diploma or less
2023,4.1,74052,FR,1,1955,68,1,2,5,5,5,5,,,2,3,5,High school diploma or less
2023,4.1,74092,FR,2,1992,31,5,15,0,5,4,0,,,7,3,3,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,74135,FR,1,1956,67,7,23,7,0,8,1,,,8,7,0,Masters degree or more
2023,4.1,74158,FR,1,2006,17,2,6,2,5,3,2,,,4,10,7,High school diploma or less
2023,4.1,74161,FR,2,1949,74,1,3,7,3,7,3,,,7,7,1,High school diploma or less
2023,4.1,74165,FR,1,1936,87,4,11,2,4,5,3,,,7,3,0,High school diploma or less
2023,4.1,74193,FR,1,1943,80,1,3,3,7,7,3,,,8,9,5,High school diploma or less
2023,4.1,74220,FR,2,1997,26,7,22,6,4,8,5,,,8,7,7,Masters degree or more
2023,4.1,74254,FR,1,2003,20,5,15,5,7,8,7,,,9,7,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,74255,FR,2,1984,40,4,9,5,4,6,5,,,8,5,5,High school diploma or less
2023,4.1,74286,FR,1,1993,30,7,22,5,5,7,7,,,8,8,8,Masters degree or more
2023,4.1,74317,FR,2,1955,68,7,23,8,7,9,9,,,9,7,6,Masters degree or more
2023,4.1,74385,FR,1,1991,32,1,4,5,2,5,5,,,9,5,5,High school diploma or less
2023,4.1,74429,FR,2,1976,47,4,9,5,7,7,6,,,8,7,6,High school diploma or less
2023,4.1,74501,FR,1,1959,64,3,7,5,4,7,5,,,9,2,2,High school diploma or less
2023,4.1,74509,FR,1,1948,75,7,24,4,4,5,5,,,8,6,9,Masters degree or more
2023,4.1,74514,FR,2,1966,57,5,15,7,4,7,5,,,77,5,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,74533,FR,1,1983,40,6,17,7,2,7,6,,,9,3,3,"Undergraduate degree (licence, licence pro)"
2023,4.1,74566,FR,1,1993,30,7,19,3,2,5,3,,,9,3,2,Masters degree or more
2023,4.1,74581,FR,2,1967,56,6,18,5,7,5,5,,,6,5,7,"Undergraduate degree (licence, licence pro)"
2023,4.1,74591,FR,2,1980,43,7,23,6,4,5,3,,,6,2,5,Masters degree or more
2023,4.1,74592,FR,1,1938,85,3,7,0,5,5,10,,,8,8,4,High school diploma or less
2023,4.1,74599,FR,1,1987,36,4,9,5,4,5,5,,,8,5,88,High school diploma or less
2023,4.1,74609,FR,2,1971,52,5,13,1,1,5,1,,,4,1,1,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,74617,FR,1,1990,33,7,20,6,3,6,3,,,9,3,2,Masters degree or more
2023,4.1,74641,FR,2,2004,19,4,11,6,5,7,4,,,4,5,8,High school diploma or less
2023,4.1,74655,FR,1,2003,21,3,7,4,2,6,2,,,9,2,2,High school diploma or less
2023,4.1,74678,FR,2,1956,67,4,11,77,0,5,5,,,0,0,2,High school diploma or less
2023,4.1,74684,FR,2,1979,44,5,15,5,6,7,5,,,8,7,8,"Short-cycle tertiary (BTS, DUT)"
